Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	mAU
0.083278	2.229917	0.174218	5.47681							0.090454	0.741764
0.084026	2.273563	0.175717	5.476719							0.091202	0.742435
0.084773	2.315317	0.177217	5.476696							0.091949	0.743105
0.085521	2.35461	0.178716	5.476741							0.092697	0.743776
0.086268	2.391343	0.180215	5.476839							0.093444	0.744446
0.087016	2.426797	0.181714	5.476964							0.094192	0.745117
0.087763	2.461813	0.183213	5.477127							0.094939	0.745788
0.088511	2.494797	0.184712	5.477341							0.095687	0.746458
0.089259	2.527358	0.186211	5.477606							0.096434	0.747129
0.090006	2.557797	0.18771	5.477903							0.097182	0.747799
0.090754	2.583372	0.18921	5.47825							0.097929	0.748499
0.091501	2.607235	0.190709	5.478631							0.098677	0.749199
0.092249	2.629312	0.192208	5.479023							0.099425	0.749898
0.092996	2.649552	0.193707	5.479454							0.100172	0.750598
0.093744	2.668298	0.195206	5.479896							0.10092	0.751298
0.094491	2.685804	0.196705	5.480414							0.101667	0.751997
0.095239	2.702217	0.198204	5.480933							0.102415	0.752697
0.095986	2.718004	0.199703	5.481515							0.103162	0.753397
0.096734	2.733642	0.201203	5.482109							0.10391	0.754096
0.097482	2.747234	0.202702	5.482734							0.104657	0.754796
0.098229	2.761107	0.204201	5.483416							0.105405	0.755516
0.098977	2.775023	0.2057	5.484144							0.106153	0.756237
0.099724	2.787851	0.207199	5.484872							0.1069	0.756957
0.100472	2.799991	0.208698	5.48559							0.107648	0.757677
0.101219	2.811675	0.210197	5.486379							0.108395	0.758398
0.101967	2.822931	0.211696	5.487193							0.109143	0.759118
0.102714	2.834286	0.213196	5.487947							0.10989	0.759839
0.103462	2.846218	0.214695	5.48871							0.110638	0.760559
0.10421	2.856664	0.216194	5.48953							0.111385	0.76128
0.104957	2.865618	0.217693	5.490385							0.112133	0.762
0.105705	2.87365	0.219192	5.491205							0.112881	0.762732
0.106452	2.880016	0.220691	5.491996							0.113628	0.763465
0.1072	2.884594	0.22219	5.492808							0.114376	0.764197
0.107947	2.886929	0.223689	5.493658							0.115123	0.764929
0.108695	2.887325	0.225189	5.494531							0.115871	0.765662
0.109442	2.885446	0.226688	5.495455							0.116618	0.766394
0.11019	2.880332	0.228187	5.496421							0.117366	0.767127
0.110938	2.872092	0.229686	5.497361							0.118113	0.767859
0.111685	2.860785	0.231185	5.498254							0.118861	0.768591
0.112433	2.84487	0.232684	5.499196							0.119609	0.769324
0.11318	2.824329	0.234183	5.500127							0.120356	0.770016
0.113928	2.799697	0.235683	5.501019							0.121104	0.770708
0.114675	2.768796	0.237182	5.501877							0.121851	0.7714
0.115423	2.73097	0.238681	5.50272							0.122599	0.772093
0.11617	2.687765	0.24018	5.503587							0.123346	0.772785
0.116918	2.640447	0.241679	5.504508							0.124094	0.773477
0.117666	2.589537	0.243178	5.505426							0.124841	0.774169
0.118413	2.535927	0.244677	5.506331							0.125589	0.774861
0.119161	2.479578	0.246176	5.507202							0.126337	0.775553
0.119908	2.423624	0.247676	5.508078							0.127084	0.776246
0.120656	2.366718	0.249175	5.50896							0.127832	0.776897
0.121403	2.311251	0.250674	5.509829							0.128579	0.777549
0.122151	2.256885	0.252173	5.510697							0.129327	0.7782
0.122898	2.203183	0.253672	5.5116							0.130074	0.778852
0.123646	2.150782	0.255171	5.512476							0.130822	0.779503
0.124394	2.100925	0.25667	5.513297							0.131569	0.780155
0.125141	2.054237	0.258169	5.51418							0.132317	0.780807
0.125889	2.010116	0.259669	5.515005							0.133064	0.781458
0.126636	1.967459	0.261168	5.515819							0.133812	0.78211
0.127384	1.92724	0.262667	5.516585							0.13456	0.782761
0.128131	1.889364	0.264166	5.517358							0.135307	0.783526
0.128879	1.850982	0.265665	5.518136							0.136055	0.78429
0.129626	1.814618	0.267164	5.518895							0.136802	0.785054
0.130374	1.781084	0.268663	5.519675							0.13755	0.785818
0.131122	1.749523	0.270162	5.520497							0.138297	0.786582
0.131869	1.718846	0.271662	5.521311							0.139045	0.787346
0.132617	1.689765									0.139792	0.78811
0.133364	1.661731									0.14054	0.788874
0.134112	1.634841									0.141288	0.789638
0.134859	1.608355									0.142035	0.790403
0.135607	1.583518									0.142783	0.791105
0.136354	1.560074									0.14353	0.791807
0.137102	1.537158									0.144278	0.792509
0.137849	1.514841									0.145025	0.793212
0.138597	1.49428									0.145773	0.793914
0.139345	1.476112									0.14652	0.794616
0.140092	1.458029									0.147268	0.795319
0.14084	1.440461									0.148016	0.796021
0.141587	1.423517									0.148763	0.796723
0.142335	1.407829									0.149511	0.797426
0.143082	1.39327									0.150258	0.798133
0.14383	1.379516									0.151006	0.79884
0.144577	1.365263									0.151753	0.799548
0.145325	1.350749									0.152501	0.800255
0.146073	1.338045									0.153248	0.800963
0.14682	1.326701									0.153996	0.80167
0.147568	1.315381									0.154744	0.802377
0.148315	1.303663									0.155491	0.803085
0.149063	1.292337									0.156239	0.803792
0.14981	1.281377									0.156986	0.8045
0.150558	1.270745									0.157734	0.805198
0.151305	1.26016									0.158481	0.805896
0.152053	1.250728									0.159229	0.806594
0.152801	1.242336									0.159976	0.807292
0.153548	1.233163									0.160724	0.80799
0.154296	1.224055									0.161472	0.808688
0.155043	1.216476									0.162219	0.809386
0.155791	1.207758									0.162967	0.810084
0.156538	1.20038									0.163714	0.810782
0.157286	1.19293									0.164462	0.81148
0.158033	1.184949									0.165209	0.812156
0.158781	1.177997									0.165957	0.812831
0.159529	1.171863									0.166704	0.813507
0.160276	1.165652									0.167452	0.814183
0.161024	1.159383									0.168199	0.814858
0.161771	1.153065									0.168947	0.815534
0.162519	1.147765									0.169695	0.816209
0.163266	1.142751									0.170442	0.816885
0.164014	1.137462									0.17119	0.817561
0.164761	1.133805									0.171937	0.818236
0.165509	1.130085									0.172685	0.818969
0.166257	1.126003									0.173432	0.819702
0.167004	1.121914									0.17418	0.820435
0.167752	1.118102									0.174927	0.821168
0.168499	1.114336									0.175675	0.821901
0.169247	1.110433									0.176423	0.822634
0.169994	1.107612									0.17717	0.823367
0.170742	1.103183									0.177918	0.8241
0.171489	1.099718									0.178665	0.824833
0.172237	1.096685									0.179413	0.825566
0.172984	1.093635									0.18016	0.826269
0.173732	1.090941									0.180908	0.826973
0.17448	1.088739									0.181655	0.827677
0.175227	1.086704									0.182403	0.828381
0.175975	1.084792									0.183151	0.829084
0.176722	1.083414									0.183898	0.829788
0.17747	1.082194									0.184646	0.830492
0.178217	1.081263									0.185393	0.831196
0.178965	1.079651									0.186141	0.8319
0.179712	1.079253									0.186888	0.832603
0.18046	1.077824									0.187636	0.83332
0.181208	1.076492									0.188383	0.834037
0.181955	1.075874									0.189131	0.834754
0.182703	1.07555									0.189879	0.835471
0.18345	1.075146									0.190626	0.836187
0.184198	1.074877									0.191374	0.836904
0.184945	1.074435									0.192121	0.837621
0.185693	1.073474									0.192869	0.838338
0.18644	1.073693									0.193616	0.839055
0.187188	1.073712									0.194364	0.839772
0.187936	1.073144									0.195111	0.840447
0.188683	1.072474									0.195859	0.841123
0.189431	1.071783									0.196607	0.841799
0.190178	1.071908									0.197354	0.842475
0.190926	1.07316									0.198102	0.843151
0.191673	1.073173									0.198849	0.843827
0.192421	1.073555									0.199597	0.844502
0.193168	1.075386									0.200344	0.845178
0.193916	1.07576									0.201092	0.845854
0.194664	1.075569									0.201839	0.84653
0.195411	1.076076									0.202587	0.847242
0.196159	1.076694									0.203334	0.847954
0.196906	1.0768									0.204082	0.848666
0.197654	1.077693									0.20483	0.849378
0.198401	1.077571									0.205577	0.85009
0.199149	1.079425									0.206325	0.850802
0.199896	1.079905									0.207072	0.851514
0.200644	1.080679									0.20782	0.852226
0.201392	1.081399									0.208567	0.852938
0.202139	1.081803									0.209315	0.85365
0.202887	1.082272									0.210062	0.854347
0.203634	1.082918									0.21081	0.855044
0.204382	1.083223									0.211558	0.855741
0.205129	1.08291									0.212305	0.856438
0.205877	1.082478									0.213053	0.857134
0.206624	1.081413									0.2138	0.857831
0.207372	1.080303									0.214548	0.858528
0.208119	1.079834									0.215295	0.859225
0.208867	1.07923									0.216043	0.859922
0.209615	1.078453									0.21679	0.860619
0.210362	1.07818									0.217538	0.861328
0.21111	1.077675									0.218286	0.862036
0.211857	1.076073									0.219033	0.862744
0.212605	1.075193									0.219781	0.863453
0.213352	1.075076									0.220528	0.864161
0.2141	1.074527									0.221276	0.86487
0.214847	1.074081									0.222023	0.865578
0.215595	1.071983									0.222771	0.866287
0.216343	1.069728									0.223518	0.866995
0.21709	1.068397									0.224266	0.867703
0.217838	1.067367									0.225014	0.868453
0.218585	1.065848									0.225761	0.869202
0.219333	1.063955									0.226509	0.869951
0.22008	1.06237									0.227256	0.8707
0.220828	1.06194									0.228004	0.87145
0.221575	1.059735									0.228751	0.872199
0.222323	1.058561									0.229499	0.872948
0.223071	1.056645									0.230246	0.873697
0.223818	1.054759									0.230994	0.874447
0.224566	1.05314									0.231742	0.875196
0.225313	1.051715									0.232489	0.875893
0.226061	1.050135									0.233237	0.876591
0.226808	1.047964									0.233984	0.877288
0.227556	1.045192									0.234732	0.877985
0.228303	1.042659									0.235479	0.878683
0.229051	1.04057									0.236227	0.87938
0.229799	1.038243									0.236974	0.880077
0.230546	1.035823									0.237722	0.880774
0.231294	1.033378									0.23847	0.881472
0.232041	1.030898									0.239217	0.882169
0.232789	1.028283									0.239965	0.882859
0.233536	1.025592									0.240712	0.883549
0.234284	1.022829									0.24146	0.884238
0.235031	1.019946									0.242207	0.884928
0.235779	1.017634									0.242955	0.885618
0.236527	1.015977									0.243702	0.886308
0.237274	1.014069									0.24445	0.886998
0.238022	1.01207									0.245197	0.887687
0.238769	1.010017									0.245945	0.888377
0.239517	1.008005									0.246693	0.889067
0.240264	1.005821									0.24744	0.889781
0.241012	1.002828									0.248188	0.890494
0.241759	1.000866									0.248935	0.891207
0.242507	0.997347									0.249683	0.891921
0.243254	0.993617									0.25043	0.892634
0.244002	0.991879									0.251178	0.893348
0.24475	0.990026									0.251925	0.894061
0.245497	0.987793									0.252673	0.894775
0.246245	0.985506									0.253421	0.895488
0.246992	0.983554									0.254168	0.896202
0.24774	0.981812									0.254916	0.896925
0.248487	0.978967									0.255663	0.897648
0.249235	0.976631									0.256411	0.89837
0.249982	0.974449									0.257158	0.899093
0.25073	0.972302									0.257906	0.899816
0.251478	0.969989									0.258653	0.900539
0.252225	0.967741									0.259401	0.901262
0.252973	0.965904									0.260149	0.901985
0.25372	0.964258									0.260896	0.902708
0.254468	0.962276									0.261644	0.903431
0.255215	0.959644									0.262391	0.904135
0.255963	0.95639									0.263139	0.904838
0.25671	0.953064									0.263886	0.905542
0.257458	0.951099									0.264634	0.906245
0.258206	0.949137									0.265381	0.906949
0.258953	0.946876									0.266129	0.907652
0.259701	0.944187									0.266877	0.908356
0.260448	0.942408									0.267624	0.909059
0.261196	0.940755									0.268372	0.909763
0.261943	0.938752									0.269119	0.910467
0.262691	0.936904									0.269867	0.911187
0.263438	0.934011									0.270614	0.911908
0.264186	0.931492									0.271362	0.912629
0.264934	0.930349										
0.265681	0.927675										
0.266429	0.925714										
0.267176	0.923207										
0.267924	0.920954										
0.268671	0.919565										
0.269419	0.918256										
0.270166	0.916169										
0.270914	0.914373										
0.271662	0.912629										
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
