Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.26753	2.543779	0.26753	6.284019	1.366505	0							0.274705	2.04755
0.269195	2.544341	0.269195	6.284625	1.37483	0							0.27637	2.051997
0.27086	2.543472	0.27086	6.285182	1.383155	0							0.278035	2.056444
0.272525	2.543168	0.272525	6.285785	1.391481	0							0.279699	2.06089
0.27419	2.54465	0.27419	6.286351	1.399806	0							0.281364	2.065337
0.275855	2.547024	0.275855	6.286882	1.408131	0							0.283029	2.069784
0.27752	2.546797	0.27752	6.287361	1.416457	0							0.284694	2.075397
0.279184	2.548251	0.279184	6.287862	1.424782	0							0.286359	2.08101
0.280849	2.549179	0.280849	6.288267	1.433107	0							0.288024	2.086623
0.282514	2.550353	0.282514	6.288712	1.441433	0							0.289689	2.092236
0.284179	2.551289	0.284179	6.289219	1.449758	0							0.291354	2.097849
0.285844	2.554373	0.285844	6.289611	1.458083	0							0.293018	2.103462
0.287509	2.556967	0.287509	6.290042	1.466409	0							0.294683	2.109075
0.289174	2.559343	0.289174	6.290471	1.474734	0							0.296348	2.114688
0.290839	2.560425	0.290839	6.290865	1.483059	0							0.298013	2.120301
0.292503	2.561342	0.292503	6.291331	1.491385	0							0.299678	2.125914
0.294168	2.563983	0.294168	6.291699	1.49971	0							0.301343	2.130402
0.295833	2.565228	0.295833	6.292037	1.508035	0							0.303008	2.13489
0.297498	2.568823	0.297498	6.292398	1.516361	0							0.304673	2.139379
0.299163	2.571491	0.299163	6.292745	1.524686	0							0.306338	2.143867
0.300828	2.574941	0.300828	6.293045	1.533011	0							0.308002	2.148355
0.302493	2.576761	0.302493	6.293301	1.541337	0							0.309667	2.152844
0.304158	2.578576	0.304158	6.293578	1.549662	0							0.311332	2.157332
0.305822	2.582255	0.305822	6.293835	1.557987	0							0.312997	2.161821
0.307487	2.583802	0.307487	6.294096	1.566313	0							0.314662	2.166309
