Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.110881	1.702968	0.228999	8.519945	1.173883	0							0.118111	-0.344936
0.111712	1.7073	0.230662	8.519857	1.182201	0							0.118943	-0.344932
0.112544	1.710271	0.232326	8.519736	1.190519	0							0.119775	-0.344928
0.113376	1.712887	0.23399	8.519598	1.198836	0							0.120607	-0.344924
0.114208	1.714335	0.235653	8.519496	1.207154	0							0.121438	-0.34492
0.11504	1.714932	0.237317	8.519389	1.215472	0							0.12227	-0.344916
0.115871	1.714868	0.23898	8.519227	1.22379	0							0.123102	-0.344912
0.116703	1.713193	0.240644	8.519105	1.232107	0							0.123934	-0.344909
0.117535	1.711882	0.242308	8.518959	1.240425	0							0.124766	-0.344905
0.118367	1.709209	0.243971	8.518845	1.248743	0							0.125597	-0.344902
0.119198	1.705908	0.245635	8.518755	1.25706	0							0.126429	-0.344899
0.12003	1.703146	0.247298	8.518661	1.265378	0							0.127261	-0.344897
0.120862	1.699265	0.248962	8.518617	1.273696	0							0.128093	-0.344894
0.121694	1.694893	0.250625	8.518519	1.282014	0							0.128924	-0.344891
0.122525	1.690086	0.252289	8.518424	1.290331	0							0.129756	-0.344888
0.123357	1.685134	0.253953	8.518311	1.298649	0							0.130588	-0.344886
0.124189	1.679822	0.255616	8.518181	1.306967	0							0.13142	-0.344883
0.125021	1.673546	0.25728	8.518092	1.315284	0							0.132251	-0.34488
0.125853	1.666518	0.258943	8.517971	1.323602	0							0.133083	-0.344878
0.126684	1.659909	0.260607	8.517778	1.33192	0							0.133915	-0.344875
0.127516	1.653521	0.262271	8.517584	1.340237	0							0.134747	-0.344872
0.128348	1.647514	0.263934	8.517387	1.348555	0							0.135579	-0.344869
0.12918	1.641975	0.265598	8.517189	1.356873	0							0.13641	-0.344867
0.130011	1.63704	0.267261	8.516944	1.365191	0							0.137242	-0.344864
0.130843	1.632019	0.268925	8.516657	1.373508	0							0.138074	-0.344861
0.131675	1.625465	0.270589	8.516431	1.381826	0							0.138906	-0.344858
0.132507	1.620468	0.272252	8.516238	1.390144	0							0.139737	-0.344856
0.133338	1.615571	0.273916	8.516016	1.398461	0							0.140569	-0.344853
0.13417	1.610175	0.275579	8.515749	1.406779	0							0.141401	-0.34485
0.135002	1.605459	0.277243	8.515457	1.415097	0							0.142233	-0.344847
0.135834	1.600641	0.278906	8.515193	1.423415	0							0.143065	-0.344845
0.136666	1.596242	0.28057	8.514935	1.431732	0							0.143896	-0.344842
0.137497	1.591457	0.282234	8.514679	1.44005	0							0.144728	-0.344839
0.138329	1.586339	0.283897	8.51439	1.448368	0							0.14556	-0.344836
0.139161	1.580207	0.285561	8.514073	1.456685	0							0.146392	-0.344833
0.139993	1.573605	0.287224	8.513771	1.465003	0							0.147223	-0.34483
0.140824	1.568983	0.288888	8.513481	1.473321	0							0.148055	-0.344828
0.141656	1.56481	0.290552	8.513177	1.481638	0							0.148887	-0.344825
0.142488	1.560358	0.292215	8.512952	1.489956	0							0.149719	-0.344822
0.14332	1.555946	0.293879	8.512753	1.498274	0							0.15055	-0.344819
0.144151	1.551599	0.295542	8.512486	1.506592	0							0.151382	-0.344816
0.144983	1.54683	0.297206	8.512197	1.514909	0							0.152214	-0.344813
0.145815	1.543198	0.29887	8.51198	1.523227	0							0.153046	-0.344811
0.146647	1.538682	0.300533	8.511776	1.531545	0							0.153878	-0.344808
0.147479	1.534108	0.302197	8.511569	1.539862	0							0.154709	-0.344805
0.14831	1.529566	0.30386	8.511288	1.54818	0							0.155541	-0.344802
0.149142	1.525332	0.305524	8.511037	1.556498	0							0.156373	-0.344799
0.149974	1.522386	0.307187	8.510818	1.564816	0							0.157205	-0.344796
0.150806	1.51918	0.308851	8.510591	1.573133	0							0.158036	-0.344793
0.151637	1.514817	0.310515	8.510345	1.581451	0							0.158868	-0.34479
0.152469	1.511423	0.312178	8.510129	1.589769	0							0.1597	-0.344787
0.153301	1.508566	0.313842	8.509891	1.598086	0							0.160532	-0.344784
0.154133	1.505832	0.315505	8.509654	1.606404	0							0.161363	-0.344782
0.154964	1.502455	0.317169	8.509459	1.614722	0							0.162195	-0.344779
0.155796	1.50051	0.318833	8.509247	1.623039	0							0.163027	-0.344776
0.156628	1.498683	0.320496	8.509026	1.631357	0							0.163859	-0.344773
0.15746	1.496781	0.32216	8.508718	1.639675	0							0.164691	-0.34477
0.158292	1.495387	0.323823	8.508439	1.647993	0							0.165522	-0.344767
0.159123	1.493767	0.325487	8.508194	1.65631	0							0.166354	-0.344764
0.159955	1.492601	0.327151	8.50787	1.664628	0							0.167186	-0.344761
0.160787	1.4914	0.328814	8.507613	1.672946	0							0.168018	-0.344758
0.161619	1.489588	0.330478	8.507401	1.681263	0							0.168849	-0.344755
0.16245	1.488656	0.332141	8.507171	1.689581	0							0.169681	-0.344752
0.163282	1.487841	0.333805	8.506882	1.697899	0							0.170513	-0.344749
0.164114	1.486152	0.335469	8.506604	1.706217	0							0.171345	-0.344746
0.164946	1.485056	0.337132	8.50633	1.714534	0							0.172176	-0.344743
0.165778	1.483972	0.338796	8.506053	1.722852	0							0.173008	-0.34474
0.166609	1.483108	0.340459	8.505788	1.73117	0							0.17384	-0.344737
0.167441	1.48266	0.342123	8.505496	1.739487	0							0.174672	-0.344734
0.168273	1.481954	0.343786	8.505214	1.747805	0							0.175504	-0.344731
0.169105	1.481542	0.34545	8.504847	1.756123	0							0.176335	-0.344728
0.169936	1.48171	0.347114	8.504432	1.76444	0							0.177167	-0.344725
0.170768	1.482144	0.348777	8.50408	1.772758	0							0.177999	-0.344722
0.1716	1.48253	0.350441	8.503742	1.781076	0							0.178831	-0.344719
0.172432	1.482913	0.352104	8.50349	1.789394	0							0.179662	-0.344716
0.173263	1.483706	0.353768	8.503228	1.797711	0							0.180494	-0.344713
0.174095	1.484538	0.355432	8.502915	1.806029	0							0.181326	-0.34471
0.174927	1.485097	0.357095	8.502592	1.814347	0							0.182158	-0.344707
0.175759	1.485937	0.358759	8.502339	1.822664	0							0.182989	-0.344704
0.176591	1.487033	0.360422	8.50212	1.830982	0							0.183821	-0.344701
0.177422	1.488952	0.362086	8.501899	1.8393	0							0.184653	-0.344698
0.178254	1.491426	0.36375	8.501569	1.847618	0							0.185485	-0.344695
0.179086	1.493156	0.365413	8.50127	1.855935	0							0.186317	-0.344692
0.179918	1.494602	0.367077	8.500982	1.864253	0							0.187148	-0.344689
0.180749	1.496542	0.36874	8.500717	1.872571	0							0.18798	-0.344685
0.181581	1.497873	0.370404	8.500401	1.880888	0							0.188812	-0.344682
0.182413	1.498434	0.372067	8.50015	1.889206	0							0.189644	-0.344679
0.183245	1.499987	0.373731	8.49998	1.897524	0							0.190475	-0.344676
0.184076	1.502389	0.375395	8.499842	1.905841	0							0.191307	-0.344673
0.184908	1.505058	0.377058	8.499672	1.914159	0							0.192139	-0.34467
0.18574	1.508129	0.378722	8.499474	1.922477	0							0.192971	-0.344667
0.186572	1.511859	0.380385	8.499239	1.930795	0							0.193803	-0.344664
0.187404	1.514917	0.382049	8.499054	1.939112	0							0.194634	-0.344661
