,Wavelength,CD_value
485,211.4,-43.3418
486,211.3,-42.9406
487,211.2,-42.8063
488,211.1,-42.4752
489,211.0,-42.3584
490,210.9,-42.3115
491,210.8,-42.8901
492,210.7,-42.3295
493,210.6,-42.3125
494,210.5,-41.0993
495,210.4,-40.1818
496,210.3,-39.7798
497,210.2,-38.9719
498,210.1,-39.3148
499,210.0,-38.3868
500,209.9,-38.5472
501,209.8,-37.5209
502,209.7,-37.4568
503,209.6,-37.4032
504,209.5,-37.1579
505,209.4,-36.6547
506,209.3,-34.0065
507,209.2,-33.748
508,209.1,-32.4577
509,209.0,-31.1104
510,208.9,-29.9757
511,208.8,-28.8794
512,208.7,-28.0555
513,208.6,-27.605
514,208.5,-26.6791
515,208.4,-26.2036
516,208.3,-24.221
517,208.2,-24.5431
518,208.1,-23.2944
519,208.0,-22.4881
520,207.9,-22.0304
521,207.8,-21.1922
522,207.7,-21.5079
523,207.6,-22.1403
524,207.5,-21.8041
525,207.4,-22.1973
526,207.3,-19.1008
527,207.2,-17.271
528,207.1,-15.3251
529,207.0,-15.799
530,206.9,-12.241
531,206.8,-10.7395
532,206.7,-10.5351
533,206.6,-11.3473
534,206.5,-10.5486
535,206.4,-9.552
536,206.3,-11.298
537,206.2,-8.3796
538,206.1,-8.75289
539,206.0,-8.75518
540,205.9,-5.58117
541,205.8,-3.678
542,205.7,-5.41427
543,205.6,-5.95058
544,205.5,-3.87337
545,205.4,-5.11498
546,205.3,-3.49881
547,205.2,-2.63971
548,205.1,0.00417616
549,205.0,0.615974
550,204.9,1.46053
551,204.8,2.536
552,204.7,3.43067
553,204.6,3.90845
554,204.5,3.46443
555,204.4,1.46472
556,204.3,0.322121
557,204.2,0.830673
558,204.1,1.09861
559,204.0,1.01503
560,203.9,-0.0931618
561,203.8,-1.25463
562,203.7,0.304268
563,203.6,3.40258
564,203.5,1.50274
565,203.4,1.66812
566,203.3,0.245678
567,203.2,0.891902
568,203.1,1.67469
569,203.0,2.81717
570,202.9,2.39244
571,202.8,1.47762
572,202.7,2.36794
573,202.6,2.31208
574,202.5,5.07256
575,202.4,4.35448
576,202.3,4.1586
577,202.2,4.58172
578,202.1,1.80138
579,202.0,4.37253
580,201.9,3.63781
581,201.8,2.34814
582,201.7,0.88547
583,201.6,1.34342
584,201.5,0.606208
585,201.4,-0.502904
586,201.3,-0.764966
587,201.2,-1.82307
588,201.1,-3.51362
589,201.0,-4.06004
590,200.9,-3.6747
591,200.8,-2.53544
592,200.7,-1.16215
593,200.6,0.640545
594,200.5,0.624472
595,200.4,1.10868
596,200.3,2.81162
597,200.2,2.80181
598,200.1,2.28521
599,200.0,2.29032
600,199.9,1.69627
601,199.8,3.16095
602,199.7,3.33512
603,199.6,3.27789
604,199.5,3.07292
605,199.4,5.88977
606,199.3,5.31456
607,199.2,5.97514
608,199.1,5.72817
609,199.0,5.97705
610,198.9,3.93669
611,198.8,4.83335
612,198.7,4.55921
613,198.6,5.38632
614,198.5,5.29022
615,198.4,4.35514
616,198.3,3.83474
617,198.2,2.78364
618,198.1,1.99534
619,198.0,2.81607
620,197.9,1.20337
621,197.8,0.762279
622,197.7,1.57558
623,197.6,4.13647
624,197.5,3.91063
625,197.4,4.30223
626,197.3,2.38468
627,197.2,2.91846
628,197.1,3.65554
629,197.0,4.43202
630,196.9,2.37282
631,196.8,0.237858
632,196.7,-0.513069
633,196.6,-0.309993
634,196.5,-1.93122
635,196.4,-0.421726
636,196.3,-1.92812
637,196.2,-1.2182
638,196.1,1.74041
639,196.0,2.33911
640,195.9,1.66488
641,195.8,3.12856
642,195.7,2.89482
643,195.6,2.9392
644,195.5,3.074
645,195.4,3.45263
646,195.3,4.01158
647,195.2,5.81722
648,195.1,4.34434
649,195.0,1.96553
650,194.9,1.96182
651,194.8,-1.45031
652,194.7,0.529884
653,194.6,0.196093
654,194.5,-0.032031
655,194.4,0.786075
656,194.3,1.94173
657,194.2,5.5027
658,194.1,5.47465
659,194.0,4.2129
660,193.9,4.28073
661,193.8,2.07598
662,193.7,1.98105
663,193.6,0.981875
664,193.5,-1.64404
665,193.4,-0.0498001
666,193.3,0.747773
667,193.2,2.23319
668,193.1,1.96182
669,193.0,1.45145
670,192.9,1.62455
671,192.8,1.54051
672,192.7,1.30185
673,192.6,-0.303324
674,192.5,-0.265862
675,192.4,0.872498
676,192.3,0.188648
677,192.2,-0.52846
678,192.1,0.796366
679,192.0,0.934
680,191.9,1.51158
681,191.8,1.24699
682,191.7,2.77346
683,191.6,3.67501
684,191.5,4.8565
685,191.4,6.14383
686,191.3,8.30392
687,191.2,7.76639
688,191.1,5.63122
689,191.0,3.70315
690,190.9,3.2208
691,190.8,0.623923
692,190.7,0.846304
693,190.6,-0.246775
694,190.5,0.430028
695,190.4,0.294356
696,190.3,3.58704
697,190.2,5.04196
698,190.1,6.26477
699,190.0,4.99489
